id;label;Latitude;Longitude;status
547;"Norwich";52.675833;1.282778;healthy
548;"London";51.885;0.235;healthy
552;"Exeter";50.734444;-3.413889;healthy
579;"Mount Pleasant";-51.822777;-58.447222;healthy
580;"Amsterdam";52.308613;4.763889;healthy
582;"Maastricht";50.911658;5.770144;healthy
585;"Eindhoven";51.450139;5.374528;healthy
586;"Groningen";53.11972;6.579444;healthy
591;"Rotterdam";51.956944;4.437222;healthy
596;"Cork";51.841269;-8.491111;healthy
599;"Dublin";53.421333;-6.270075;healthy
600;"Connaught";53.910297;-8.818492;healthy
601;"Kerry";52.180878;-9.523783;healthy
603;"Shannon";52.701978;-8.924817;healthy
605;"Waterford";52.1872;-7.086964;healthy
607;"Aarhus";56.300017;10.619008;healthy
608;"Billund";55.740322;9.151778;healthy
609;"Copenhagen";55.617917;12.655972;healthy
610;"Esbjerg";55.525942;8.553403;healthy
612;"Karup";56.297458;9.124628;healthy
618;"Ronne";55.063267;14.759558;healthy
619;"Soenderborg";54.964367;9.791731;healthy
625;"Vagar";62.063628;-7.277219;healthy
628;"Aalborg";57.092789;9.849164;healthy
629;"Luxemburg";49.626575;6.211517;healthy
630;"Alesund";62.560372;6.110164;healthy
631;"Andoya";69.2925;16.144167;healthy
632;"Alta";69.976111;23.371667;healthy
634;"Bronnoysund";65.461111;12.2175;healthy
635;"Bodo";67.269167;14.365278;healthy
636;"Bergen";60.293386;5.218142;healthy
637;"Batsfjord";70.600278;29.6925;healthy
638;"Kristiansand";58.204214;8.085369;healthy
640;"Bardufoss";69.055758;18.540356;healthy
641;"Harstad/Narvik";68.4913;16.678108;healthy
642;"Fagernes";61.015556;9.288056;healthy
643;"Floro";61.583611;5.024722;healthy
644;"Oslo";60.193917;11.100361;healthy
645;"Haugesund";59.345267;5.208364;healthy
646;"Hasvik";70.486675;22.139744;healthy
647;"Kristiansund";63.111781;7.824522;healthy
649;"Kirkenes";69.725781;29.891295;healthy
651;"Molde";62.744722;7.2625;healthy
652;"Mosjoen";65.783997;13.214914;healthy
653;"Lakselv";70.068814;24.973489;healthy
655;"Orland";63.698908;9.604003;healthy
656;"Roros";62.578411;11.342347;healthy
657;"Rygge";59.378933;10.785389;healthy
658;"Svalbard";78.246111;15.465556;healthy
659;"Skien";59.185;9.566944;healthy
660;"Stord";59.791925;5.34085;healthy
662;"Sandnessjoen";65.956828;12.468944;healthy
663;"Tromso";69.683333;18.918919;healthy
664;"Sandefjord";59.186703;10.258628;healthy
665;"Trondheim";63.457556;10.92425;healthy
666;"Stavanger";58.876778;5.637856;healthy
668;"Gdansk";54.377569;18.466222;healthy
669;"Krakow";50.077731;19.784836;healthy
